  id  | order_id |      delivered_at       |       updated_at        
------+----------+-------------------------+-------------------------
  824 |      372 | 2026-06-16 23:21:08.053 | 2026-06-16 23:20:03.568
  826 |      374 | 2026-06-17 05:02:31.035 | 2026-06-17 04:37:52.65
  827 |      375 | 2026-06-17 06:52:56.84  | 2026-06-17 06:36:24.6
  830 |      378 | 2026-06-18 00:05:01.895 | 2026-06-17 23:07:46.6
  831 |      379 | 2026-06-17 23:21:16.253 | 2026-06-17 23:14:21.192
  861 |      410 | 2026-06-18 03:48:35.675 | 2026-06-18 03:44:29.663
  868 |      417 | 2026-06-24 04:47:18.325 | 2026-06-18 23:00:43.491
  900 |      435 | 2026-06-20 23:43:07.709 | 2026-06-20 19:29:13.036
  901 |      436 | 2026-06-21 00:48:16.577 | 2026-06-20 23:43:30.828
  902 |      437 | 2026-06-21 00:31:39.57  | 2026-06-20 23:44:35.176
  904 |      439 | 2026-06-21 00:33:21.315 | 2026-06-20 23:47:17.594
  905 |      440 | 2026-06-21 00:33:19.789 | 2026-06-20 23:47:22.986
  908 |      442 | 2026-06-22 21:34:05.043 | 2026-06-22 21:33:51.369
  917 |      449 | 2026-06-29 20:40:42.07  | 2026-06-25 15:14:47.041
  921 |      449 | 2026-06-29 21:15:59.512 | 2026-06-29 20:58:15.084
  922 |      449 | 2026-06-29 21:16:28.07  | 2026-06-29 21:16:11.649
  986 |      501 | 2026-07-15 06:50:29.016 | 2026-07-14 23:34:14.09
 1037 |      542 | 2026-07-19 13:59:37.923 | 2026-07-19 13:56:40.479
(18 rows)

